ID_loukas,105_LG_Bas_clean.tps,105_LG_Bas_ID_added.tps,ID,Amy's ID number,AW,nodule,nodule_plot,nodule_three_or_more,nodule_two_or_more,nodule_Area,raw_material,DISCARD,SITE,SITE_detail,SITE_GROUPED,AMY NOTES,Pit,TP,Spit,Plotted,Image J ID,SpecimenID,Notes,TP spit,Lustre,Weight,Category,Breakage,LONG/TRAN Breakage type,Retouch,Flake category,Cortex,Event size,Core,bipolar,import,Use_wear,CONJOIN SET,Perc. length,BASI,CON NO PIECES,CON WITH,CON TYPE,Complete refit,Platform,O'hang rem.,Plat crushing,Ext. Plat. Angle,Termination,BF FORM,Dorsal scars,Arris,Platform width,Max P width,Termination width,Plat thick,Max_thick,BA max back thick,BA FORM,BA backed edge no,BA cut edge,BA max width,LMW,BA backed edge 1,BA backed edge 2,BA backed edge 3,BASI_matlab,Area,Max_Length,Max_Width,FeretX,FeretY,Feret angle,Perimeter,Round,Heat Damage/surface pitting,Potlid
1195,ID=1195,ID=1195QUNAABCF,1195,AW19500,19500,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F48,,6,No,14,19500,,3 (20-30cm),,0.81,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,5.88,5.88,2,3,11.91,,,13.57,8.1,7.95,0.280338196,100.3,16.7,9.8,76.75,42.75,64.204,47.406,0.612,,
1196,ID=1196,ID=1196QUNAABCF,1196,AW19926,19926,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F54,,4,No,15,19926,,2 (10-20cm),,0.37,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,3.15,3.71,2,3,10.64,,,10.05,4.09,9.43,0.421202082,74.9,12.3,9.6,52.75,54,4.667,36.102,0.806,,
1197,ID=1197,ID=1197QUNAABCF,1197,AW20034,20034,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F54,,6,No,4,20034,,3 (20-30cm),,0.35,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,4.05,4.12,6,2,9.26,,,11.65,11.92,,0.828971534,70.3,11.8,9,14.5,189.5,53.616,36.627,0.738,,
1198,ID=1198,ID=1198QUNAABCF,1198,AW20067,20067,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F54,,6,No,37,20067,,3 (20-30cm),,1.12,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,5.68,5.38,6,2,16.76,,,15.41,13.27,,0.607969311,145.8,18.3,12.5,17.25,53.75,68.344,55.477,0.662,,
1199,ID=1199,ID=1199QUNAABCF,1199,AW20399,20399,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F57,,6,No,44,20399,,3 (20-30cm),,0.46,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,4.13,3.8,6,1,14.62,,,10.87,,,0.91178789,90.6,14.4,10.7,37.75,145,54.926,41.006,0.813,,
1200,ID=1200,ID=1200QUNAABCF,1200,AW20442,20442,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F57,,6,No,87,20442,,3 (20-30cm),,0.63,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,3.95,3.95,6,2,14.91,,,15.98,13.44,,0.901020551,108.2,16.8,12.4,159.75,76.5,41.987,48.895,0.755,,
1201,ID=1201,ID=1201QUNAABCF,1201,AW20466,20466,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F57,,6,No,111,20466,,3 (20-30cm),,1.26,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,4.2,4.33,6,2,20.43,,,25.11,20.5,,0.955399835,209.1,24.3,15.7,138.25,26.5,24.981,73.28,0.662,,
1202,ID=1202,ID=1202QUNAABCF,1202,AW20701,20701,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F58,,6,No,42,20701,,3 (20-30cm),,0.39,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,2.64,1.45,6,1,15.67,,,12.3,,,0.97029703,94.7,15.3,10.8,93.5,39,146.31,45.774,0.722,,
1203,ID=1203,ID=1203QUNAABCF,1203,AW20846,20846,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F59,,6,No,43,20846,,3 (20-30cm),,0.51,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,2.15,2.12,6,2,18.4,,,14.74,11.95,,0.767477118,121.3,17.9,11.1,179,41,72.072,55.537,0.632,,
1204,ID=1204,ID=1204QUNAABCF,1204,AW21172,21172,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F60,,6,No,78,21172,,3 (20-30cm),,0.73,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,3.7,2.43,3,1,15.77,,,12.36,,,0.568292221,139.8,17.1,11.9,189.25,50.25,97.539,51.002,0.737,,
1205,ID=1205,ID=1205QUNAABCF,1205,AW21822,21822,F QUARTZ,F QUARTZ,F QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F63,,4,No,5,21822,,2 (10-20cm),,0.85,Flake,1,,backed,Backed artefact,,,,,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,5,3.58,6,2,15.3,,,17.94,14.83,,0.576154645,132.4,17.6,13.6,61.5,148.5,110.746,53.966,0.798,,
1207,ID=1207,ID=1207SIPROBCF,1207,AW18796,18796,F4 SIL ,F4 SIL ,NA,F4 SIL ,F3,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 3 - south,Lake George,,F18D,,8,No,14,18796,MICROLITH,4 (30-40cm),yes both sides,0.94,Flake,1,,backed,Backed artefact,Tertiary (none),NEE,,,CR - BA,No,,,0,,,,y,removed,,,,removed,,2,1,,,,,4.67,4.67,6,2,14.71,,,13.83,13.51,,0.957877234,132.9,15.6,13,33.5,7,102.926,48.406,0.885,,
1209,ID=1209,ID=1209SIPROBCF,1209,AW18227,18227,F4 SIL ,F4 SIL ,NA,F4 SIL ,F3,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 3 - south,Lake George,,F7M,,4,No,16,18227,,2 (10-20cm),yes both sides,0.64,Flake,1,,backed,Backed artefact,Tertiary (none),NEE,,,CR - BA,Yes,,,0,,,,y,removed,,,,removed,,2,1,,,,,3.77,3.69,6,2,13.74,,,13.83,12.63,,1.046458039,125.3,14.7,12.9,62.75,147,66.93,45.36,0.9,,
1210,ID=1210,ID=1210CHPROBCF,1210,AW18870,18870,F30 CHERT,F30 CHERT,NA,F30 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F18N,,4,No,1,18870,,2 (10-20cm),yes both sides,0.22,Flake,1,,backed,Backed artefact,Tertiary (none),Medium (10-25),,,CR - BA,No,,10.18,0,,,,y,removed,,,,removed,,2,1,,6.89,,,2.34,2.74,9,2,11.43,,,7.17,7.21,,0.578085184,57.6,11.6,7.2,12.75,39,82.569,32.117,0.63,,
1211,ID=1211,ID=1211SISETBCF,1211,AW18614,18614,F12 SIL,F12 SIL,NA,F12 SIL,F3,SILCRETE,IMPORTED,BCJ AREA F,BCJ AREA F - area 3 - south,Lake George,,F7Z,,8,No,20,18614,TRIANGULAR MICROLITH,4 (30-40cm),yes both sides,0.76,Flake,1,,backed,Backed artefact,Tertiary (none),Small (1-9),,,Imported BA,Possible,,19.98,0,,,,y,removed,,,,removed,,2,1,,14.41,,,3.41,,6,2,21.04,,,17.77,14.7,,0.654779786,186.8,21.3,15,34.5,40.25,60.422,61.784,0.695,,
1212,ID=1212,ID=1212SISETBCF,1212,AW18773,18773,F12 SIL,F12 SIL,NA,F12 SIL,F3,SILCRETE,IMPORTED,BCJ AREA F,BCJ AREA F - area 3 - south,Lake George,,F18C,,8,No,18,18773,MICROLITH,4 (30-40cm),yes both sides,0.66,Flake,1,,backed,Backed artefact,Tertiary (none),Small (1-9),,,Imported BA,No,,14.98,0,,,,y,removed,,,,removed,,3,2,,11.77,,,2.89,,2,3,17.63,,,13.86,11.02,8.02,0.809744913,157.2,17.8,12.5,17,22.25,104.621,52.774,0.743,,
1216,ID=1216,ID=1216SIPROBCF,1216,AW18789,18789,F13 SIL,F13 SIL,F13 SIL,F13 SIL,F3,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 3 - south,Lake George,,F18D,,6,No,7,18789,"MICROLITH. BOTH PROXIMAL AND DISTAL ENDS REMOVED WITH BACKING. 3RD CHORD EDGE IS NOT BACKED, RATHER IT IS THE OTHER LATERAL MARGIN OF THE FLAKE",3 (20-30cm),yes both sides,0.36,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,No,,,0,,,,y,removed,,,,removed,,3,2,,,,,1.96,1.63,3,2,19.27,,,11.94,9.99,,0.405194528,123,19,9.8,13,69.75,87.739,50.163,0.57,Yes,
1217,ID=1217,ID=1217SIPROBCF,1217,AW18611,18611,F13 SIL,F13 SIL,F13 SIL,F13 SIL,F3,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 3 - south,Lake George,,F7Z,,6,No,17,18611,TRIANGULAR MICROLITH,3 (20-30cm),,0.32,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,No,,14.86,0,,,,y,removed,,,,removed,,,,,11.68,,,2.34,2.46,6,2,15.04,,,13.65,13,,1.002316392,96.3,14.7,12,111.5,80.25,139.821,44.067,0.89,,
1218,ID=1218,ID=1218SIPROBCF,1218,AW18700,18700,F13 SIL,F13 SIL,F13 SIL,F13 SIL,F3,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 3 - south,Lake George,,F18A,,6,No,24,18700,GEOMETRIC MICROLITH,3 (20-30cm),,0.48,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,No,,9.53,0,,,,y,removed,,,,removed,,3,2,,12.78,,,2.48,2.76,3,2,10.99,,,13.73,12.5,,0.238554908,107.3,16.4,10.2,143.25,53.25,148.736,44.724,0.671,,
1219,ID=1219,ID=1219SIPROBCF,1219,AW18790,18790,F13 SIL,F13 SIL,F13 SIL,F13 SIL,F3,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 3 - south,Lake George,,F18D,,6,No,8,18790,,3 (20-30cm),ventral only,3.16,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,No,,37.39,0,,,,y,facetted,No,No,-6190,feather,,4 or more,1,5.17,13.99,0.52,4.17,7.02,7.02,4,3,32.31,,,22.48,19.05,10.47,0.535754699,346.1,37.1,13.8,30.5,36.5,97.748,93.376,0.391,Yes,
1220,ID=1220,ID=1220CHPROBCF,1220,AW18931,18931,F28 CHERT,F28 CHERT,F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F21,,6,No,12,18931,,3 (20-30cm),,0.24,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,No,,12.42,0,,,,y,removed,,,,removed,,4 or more,1,,6.29,,,3.8,3.95,9,2,12.2,,,10.34,4.94,,0.994297992,50.6,12.4,5.9,54,20.75,64.983,30.86,0.461,,
1221,ID=1221,ID=1221CHPROBCF,1221,AW18663,18663,F28 CHERT,F28 CHERT,F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F17,,6,No,30,18663,,3 (20-30cm),,0.59,Flake,1,,backed,Backed artefact,Secondary (some),Large (26+),,,CR - BA,No,,18.45,0,,,,y,complex - mulitple,No,No,-6190,,,,,6.7,8.15,0.57,0.59,5.22,4.96,9,2,16.42,,,17.19,7.03,,0.367859385,99.4,18,7.8,54.25,80.25,76.35,43.324,0.469,,
1222,ID=1222,ID=1222CHPROBCF,1222,AW19428,19428,F28 CHERT,F28 CHERT,F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F46,,6,No,17,19428,,3 (20-30cm),,0.41,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,No,,18.12,0,,,,y,removed,,,,removed,,4 or more,1,,9.09,,,3.41,2.2,9,2,18.27,,,15.51,8.19,,0.674595084,107.2,18.2,9.4,20.5,23.25,67.319,47.042,0.538,,
1224,ID=1224,ID=1224CHPROBCF,1224,AW19044,19044,F28 CHERT,F28 CHERT,F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F28,,4,No,2,19044,,2 (10-20cm),,0.35,Flake,1,,backed,Backed artefact,Secondary (some),Large (26+),,,CR - BA,No,,15.75,0,,,,y,cortical,No,No,-6190,feather,,4 or more,1,1.86,7.73,0.3,1.07,3.78,4.54,6,2,14.22,,,11.76,9.16,,0.75495182,72.9,15.2,7.9,29.25,110.5,80.538,40.627,0.522,,
1225,ID=1225,ID=1225CHPROBCF,1225,AW19043,19043,F28 CHERT,F28 CHERT,F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F28,,4,No,1,19043,,2 (10-20cm),,0.19,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,No,,14.87,0,,,,y,complex - mulitple,No,No,-6190,feather,,4 or more,1,5.61,5.61,0.4,2.21,3.04,4.28,9,2,13.82,,,13.56,5.6,,0.296954879,50.9,14.6,5.8,13,113.75,84.094,35.763,0.339,,
1226,ID=1226,ID=1226CHPROBCF,1226,AW19410,19410,F28 CHERT,F28 CHERT,F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F45,,6,No,26,19410,,3 (20-30cm),,0.15,Flake,1,,backed,Backed artefact,Secondary (some),Large (26+),,,CR - BA,No,,14.66,0,,,,y,removed,,,,removed,,,,,6.41,,,1.75,1.82,6,2,14.27,,,11.6,8.16,,0.664021355,53.8,14.1,6.7,70.25,25,82.875,36.531,0.433,,
1227,ID=1227,ID=1227CHPROBCF,1227,AW19318,19318,F28 CHERT,F28 CHERT,F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F40,,4,No,17,19318,,2 (10-20cm),,0.28,Flake,3,7,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,No,,,,,,,,flat - single,Yes,No,-6190,,,,,6.38,,,1.68,NA,2.69,,,,,,,,,0.388373414,70.8,11.9,8.3,9.25,83.25,65.056,34.542,0.748,,
1228,ID=1228,ID=1228SIPROBCF,1228,AW19351,19351,F26 SIL,F26 SIL,NA,F26 SIL,F2,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F41,,6,No,12,19351,"ONLY DISTAL END BACKED, CORTEX ACTS AS NATURAL CHORD 2, AND SO DOES FACETTED PLATFORM CHORD 3",3 (20-30cm),no,0.82,Flake,1,,backed,Backed artefact,Secondary (some),Large (26+),,,CR - BA,No,F26A,22.09,0,12,"18955, 18958, 19059, 19078, 19079, 19091, 19108, 19350, 19351, 19372, 19374, 19391",Stacking,y,facetted,No,No,-6190,removed,,2,2,9.14,13.02,,1.98,2.71,2.21,7,1,17.52,,,9.36,,,0.581979874,190.1,22.2,12.5,65.25,37,106.39,58.259,0.567,,
1229,ID=1229,ID=1229SIPROBCF,1229,AW19363,19363,F26 SIL,F26 SIL,NA,F26 SIL,F2,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F42,,4,No,1,19363,,2 (10-20cm),no,0.39,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,Yes,,,0,,,,y,removed,,,,feather,,4 or more,1,,,,,3.48,4.05,1,1,21.67,,,20.41,,,0.187880761,85.7,22.3,6.3,22.5,141,85.503,55.188,0.242,,
1238,ID=1238,ID=1238SISETBCG,1238,AW1275,1275,G19 SIL,G19 SIL,G19 SIL,G19 SIL,G1,SILCRETE,IMPORTED,BCJ AREA G,BCJ AREA G - Area 1 - centre,Lake George,,G9S,yes,6,no,1,1275,,3 (20-30cm),yes both sides,0.54,Flake,1,,backed,Backed artefact,Tertiary (none),Small (1-9),,no,,Yes,,23.97,0,,,,y,flat - single,yes,no,-6190,removed,,3,2,4.39,9.22,1.5,0.96,1.98,2.14,7,1,23.3,,,13.66,,,0.989324748,149.8,24.1,10,8.25,53.75,84.644,59.345,0.363,,
1240,ID=1240,ID=1240CHSETBCG,1240,AW325,325,G11 CHERT,G11 CHERT,NA,G11 CHERT,G1,CHERT,IMPORTED,BCJ AREA G,BCJ AREA G - Area 1 - centre,Lake George,,G9A,yes,8,no,17,325,termination removed with use wear,4 (30-40cm),no,0.71,Flake,1,,backed,Backed artefact,Secondary (some),Small (1-9),,,,Possible,,23.18,0,,,,y,flat - single,Yes,No,-6190,removed,,3,1,2.31,10,1.77,1.24,2.63,2.52,7,1,24.07,,,12.64,,,0.765244415,169.1,23.8,10.2,37,5.5,94.214,59.491,0.44,,
