"X105_LG_Bas_clean.tps","X105_LG_Bas_ID_added.tps","PhD.ID.number","spit","activity_area","Qu_present","raw_material","SITE","mode_of_entry","centsize","PC1","PC2","PC3","PC4","PC5","PC6"
"ID=1195","ID=1195QUNAABCF","PhD19500","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",904.12841316928,-0.549030887479406,-0.0629625293662277,0.0164290743702302,0.0374078325031027,0.0411469245729077,0.103866554645619
"ID=1196","ID=1196QUNAABCF","PhD19926","4","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",768.011189697129,-0.162537944827732,0.145933744706446,-0.0174900943127366,0.0222228405683575,0.0302580836450491,0.000975498325016765
"ID=1197","ID=1197QUNAABCF","PhD20034","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",719.676446397963,-0.412692328687347,0.161294183817445,0.0182842823731696,-0.0360640010794055,-0.0107126091840124,0.0569915768970894
"ID=1198","ID=1198QUNAABCF","PhD20067","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1079.15186605037,-0.282730114932933,-0.108473243461811,0.00237127882779195,0.0601387843249843,0.0051714772157033,0.00814487579852857
"ID=1199","ID=1199QUNAABCF","PhD20399","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",858.596456433405,-0.125370288911858,0.0297868149168308,0.0797189461772256,-0.0869971287089319,-0.0068482446662018,-0.0180140449891714
"ID=1200","ID=1200QUNAABCF","PhD20442","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",950.12851104469,-0.304812013653107,-0.0784290203255601,0.0645153099041459,0.106235054359231,0.0237208266400383,-0.00584831929022941
"ID=1201","ID=1201QUNAABCF","PhD20466","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1409.80916261741,-0.0822838866061754,-0.0114599235169064,0.0780962592504651,0.0534580945293667,-0.105823992843966,0.00395776410246577
"ID=1202","ID=1202QUNAABCF","PhD20701","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",932.802698859732,-0.122752175792783,-0.0138525911089092,0.0710215317372353,-0.0198101123639612,-0.0545720341409295,-0.00676231932392092
"ID=1203","ID=1203QUNAABCF","PhD20846","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1044.28704746348,-0.0088891391869765,-0.00250014468503115,0.0460985282613706,-0.057074179380156,-0.000749971388477818,-0.021311215463942
"ID=1204","ID=1204QUNAABCF","PhD21172","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1069.6042200272,-0.104901591525057,0.124688765817421,-0.0284447305754271,-0.0682202188157309,-0.0293267499742222,0.0155067363212131
"ID=1205","ID=1205QUNAABCF","PhD21822","4","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1029.48810095115,-0.319665867440299,-0.0326687343917047,0.0636647188468252,0.0438949022789849,0.0302760189316693,-0.0301234415612596
"ID=1206","ID=1206SIPROBCF","PhD18015","6","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",1178.47820302286,0.0154927859652263,0.242593292442159,0.0560285740027407,0.00827221198688191,-0.0602202218479176,0.0120617184747302
"ID=1207","ID=1207SIPROBCF","PhD18796","8","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",1020.26794887422,-0.203528395219707,0.0672229414738049,0.0227184364456701,0.00082947308330513,0.0469816495255448,-0.0267710777536156
"ID=1208","ID=1208SIPROBCF","PhD18312","4","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",1404.80919522902,0.249982148295485,-0.194168136694777,0.0451840104241628,-0.0452675769476404,0.0612242401926878,-0.0269229480845679
"ID=1209","ID=1209SIPROBCF","PhD18227","4","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",981.145344737466,-0.21530614084316,0.0629000541178233,0.000569048452342641,-0.0420500605251383,0.0463374526699055,-0.00258781276732365
"ID=1210","ID=1210CHPROBCF","PhD18870","4","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",684.8729809242,-0.135081590397587,-0.116407569988365,-0.000918655408042635,0.0166831624174482,-0.0169140453504216,-0.001221116398993
"ID=1211","ID=1211SISETBCF","PhD18614","8","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",1267.84647631328,-0.0416804854960016,0.0303180040837362,0.0590617204821789,0.00506301940801226,0.0348594491122347,-0.0307980617532035
"ID=1212","ID=1212SISETBCF","PhD18773","8","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",1139.50466212298,-0.112418890844876,0.00374492409954082,0.00536448640635944,0.0367666528195581,-0.0171237577125407,-0.0114498211519315
"ID=1213","ID=1213SIISOBCF","PhD18871","6","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",637.942003633559,0.154756280755194,0.149749699536299,-0.0121440195212061,0.00749963938989787,-0.036607773810349,-0.0257824811274333
"ID=1214","ID=1214SIISOBCF","PhD19007","6","Area 3","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",825.234436387624,0.182346263556218,-0.00781571328837073,0.0227440882020068,0.0360694411444975,-0.00769096289287183,-0.0142148052396409
"ID=1215","ID=1215SIISOBCF","PhD17944","4","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",1142.1604254657,0.0233966282290117,-0.0395474462660332,-0.0052384146944746,0.0107674933274206,-0.0116190648268917,-0.016889478024466
"ID=1216","ID=1216SIPROBCF","PhD18789","6","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",1052.75863805528,-0.142493079816049,-0.201140083380719,0.0471601442292897,0.0277138236806399,-0.0328426615959623,0.00547424044809602
"ID=1217","ID=1217SIPROBCF","PhD18611","6","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",1016.61490988476,-0.194538164824851,0.065772362203171,0.0249327269791429,-0.00317750487918693,0.0519009911353788,-0.034605166829001
"ID=1218","ID=1218SIPROBCF","PhD18700","6","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",910.879451409461,-0.205807250299307,0.0685101926665502,0.124244806355341,0.00764944997586226,-0.036572465607687,0.0303378187353819
"ID=1219","ID=1219SIPROBCF","PhD18790","6","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",1868.60213461828,0.110270333154455,-0.213391810682516,0.0173144396733185,-0.00434184977843079,-0.0173300011679566,-0.0707027672418414
"ID=1220","ID=1220CHPROBCF","PhD18931","6","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",701.048634190239,0.0404569254272286,-0.150162956379085,-0.0601886162800151,-0.028144912769113,0.0272199041768648,-0.00914806531107899
"ID=1221","ID=1221CHPROBCF","PhD18663","6","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",958.319557872008,-0.369911738773663,-0.278857679189212,-0.0138261640325706,0.0578708025309616,0.0557654807210705,0.0175982067337855
"ID=1222","ID=1222CHPROBCF","PhD19428","6","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",971.052360843637,0.073853179246038,-0.0791082132224509,0.0166567723390665,-0.0364141349474913,-0.0204248683098594,-0.0297345332530376
"ID=1224","ID=1224CHPROBCF","PhD19044","4","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",832.058554129456,0.0993679135585302,0.0120388712659036,0.0328315021113694,0.0188658177850528,-0.00597682587880314,-0.0182549891006402
"ID=1225","ID=1225CHPROBCF","PhD19043","4","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",719.471246819496,0.246374603767934,0.250583026707421,0.0499996032311194,0.016713088763472,0.0369145386801268,0.0266848981475008
"ID=1226","ID=1226CHPROBCF","PhD19410","6","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",743.94186600836,0.154831786571367,0.138868836803617,0.0831043550656577,0.0337826229498055,0.00107868824513691,-0.00393311229697873
"ID=1227","ID=1227CHPROBCF","PhD19318-prox","4","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",724.623652318912,-0.100483002678552,0.0441196770427291,-0.154066570804579,-0.0350875566934035,-0.0172857575488908,0.040342322271294
"ID=1228","ID=1228SIPROBCF","PhD19351","6","Area 3","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",1271.19348448613,0.0724895843797592,0.0172013290434417,-0.010562405957815,-0.0813936430644183,-0.017702266327838,-0.0242450493427994
"ID=1229","ID=1229SIPROBCF","PhD19363","4","Area 3","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",1014.56798071889,0.414719686402702,0.142224363129143,0.0275387777946303,0.019623667273746,0.0298328189253957,0.0232088416707817
"ID=1230","ID=1230CHISOBCG","PhD1682","8","Area 1","chert - quartz absent","CHERT","BCJ AREA G","Imported",1431.77492557315,0.200291499644574,-0.390627979639518,-0.0380057957125197,0.0395844089349976,0.0201235178983996,0.0206531378891704
"ID=1231","ID=1231SIISOBCG","PhD1512","8","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Imported",1205.074245638,0.108004136349597,0.0650346955982546,-0.0125780890205506,-0.0737275090841682,-0.0196878707989396,-0.0121461692702281
"ID=1232","ID=1232SIISOBCG","PhD1750","10","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Imported",1391.4095146649,0.148033490022352,0.150425044239653,0.00180696448946423,-0.00813372670169052,0.0130523379120573,-0.00798883909013646
"ID=1233","ID=1233SIISOBCG","PhD1490","8","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Imported",1314.98657312537,0.285936045420539,-0.0615992130499499,0.0186206741310669,0.0125771242321157,0.0225522034101595,-0.0156131716529677
"ID=1234","ID=1234SIISOBCG","PhD222","8","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Imported",1227.10788034304,0.250175773085115,-0.275423933662949,0.0112610382568324,-0.042603825714659,0.0219167527100076,0.0406599938035463
"ID=1235","ID=1235CHISOBCG","PhD1642","6","Area 1","chert - quartz absent","CHERT","BCJ AREA G","Imported",1355.80156180763,0.42682663448687,-0.0913341139012907,0.0138563164661726,0.0114688935054806,0.0319549493878294,0.0226982269513371
"ID=1236","ID=1236CHISOBCG","PhD1513","8","Area 1","chert - quartz absent","CHERT","BCJ AREA G","Imported",1279.55888395181,0.201826234709639,-0.231403283612947,-0.0553438490312744,-0.00136482590731057,-0.0242398775513978,0.0459172746529529
"ID=1238","ID=1238SISETBCG","PhD1275","6","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Imported",1221.79499098662,0.208760598150374,-0.0524798135730545,0.0344058927505915,0.0187959888421362,-0.0418070876353255,-0.021936190509545
"ID=1239","ID=1239SISETBCG","PhD2785","4","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Imported",1260.61393773034,0.2700361665544,-0.32645209653785,-0.00837605023652569,0.0483565152545838,-0.0203882757937478,0.0497324868540528
"ID=1240","ID=1240CHSETBCG","PhD325","8","Area 1","chert - quartz absent","CHERT","BCJ AREA G","Imported",1252.97201684635,0.0750977937997324,-0.178136337463974,0.0340311247988612,-0.0131416015627192,-0.0301887399137396,-0.0249247027950136
"ID=1241","ID=1241CHSETBCG","PhD1291","8","Area 1","chert - quartz absent","CHERT","BCJ AREA G","Imported",1736.59485416144,0.378882434412602,-0.0385017148459787,0.0106492822397626,-0.0120528532349523,0.00819513610349046,0.0555775729408361
"ID=1242","ID=1242CHSETBCG","PhD2717","8","Area 1","chert - quartz absent","CHERT","BCJ AREA G","Imported",1500.05464483798,-0.025194774772037,-0.320030762770156,-0.0330407582864447,-0.0155025550801299,-0.0331327124245841,0.0141332282495396
"ID=1243","ID=1243CHSETBCG","PhD1240","6","Area 1","chert - quartz absent","CHERT","BCJ AREA G","Imported",1733.38152176605,0.143709093555533,-0.0262127699556224,-0.026152671385554,-0.0565803809402741,-0.0169104968867229,-0.0144384594924701
"ID=1244","ID=1244CHSETBCG","PhD1044","6","Area 1","chert - quartz absent","CHERT","BCJ AREA G","Imported",1029.05186944099,0.191018542395805,-0.0460790390003064,-0.0308141456962135,-0.0202041746096016,0.0875403619670578,-0.0375892662200624
"ID=1245","ID=1245CHSETBCG","PhD1460","6","Area 1","chert - quartz absent","CHERT","BCJ AREA G","Imported",1259.48469125274,0.195631318358113,0.35294346108403,-0.035741775868444,0.0149196050143179,-0.0145323699616478,0.0212096268391601
"ID=1246","ID=1246SIPROBCG","PhD2243","8","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Locally produced",1065.95796117858,0.338749000571188,0.0453359845921992,0.0184683290549193,0.0113775622386795,0.0376744809252047,0.0266678788862973
"ID=1247","ID=1247SIPROBCG","PhD3675","6","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Locally produced",1356.05858096175,0.346134123941336,0.205444180822775,-0.00721682490181216,0.0559769544055693,0.00405549005794849,0.00999828544614198
"ID=1249","ID=1249SIPROBCG","PhD1543","8","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Locally produced",1282.11492757085,0.441931017781367,0.0895948003077663,-0.0452265204561145,0.00132796687866078,0.0652613156563229,0.0304127728344878
"ID=1250","ID=1250SIPROBCG","PhD866","10","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Locally produced",1033.23557333263,-0.00290364397968876,0.0886741554217546,-0.0544141402497682,-0.0129941030705237,-0.0541599815208745,-0.00319214950638061
"ID=1254","ID=1254QUNAAWN4","PhD35093","4","Area 5","quartz","QUARTZ","WCL","Locally produced",826.134069022698,-0.0522027782604964,0.025980287663888,-0.098869907511743,-0.0118462487194783,0.0417070972951538,-0.0342058905337591
"ID=1255","ID=1255QUNAAWN4","PhD30337","5","Area 5","quartz","QUARTZ","WCL","Locally produced",915.365500770048,0.00293081784973245,-0.257314711501264,-0.0959008404871238,-0.0267888942603714,0.0148858826979973,0.0247794348095025
"ID=1256","ID=1256QUNAAWN4","PhD25095","2","Area 5","quartz","QUARTZ","WCL","Locally produced",931.100088604872,-0.233240637615522,0.189818561902457,-0.177416143799767,0.0485220055284801,-0.0149282872915125,-0.0260649378658534
"ID=1257","ID=1257QUNAAWN4","PhD29000","4","Area 5","quartz","QUARTZ","WCL","Locally produced",919.313806597073,-0.154392535036848,-0.0487256563998059,-0.00277609249544876,0.0361905226581184,0.00509404060733819,-0.00374871064593753
"ID=1258","ID=1258QUNAAWN4","PhD27111","4","Area 5","quartz","QUARTZ","WCL","Locally produced",1345.06410163233,-0.0667047260610017,-0.0505695298708252,-0.00846524072262676,-0.0581361454088777,-0.0434547067455275,0.0269758201914298
"ID=1259","ID=1259SIISOWN4","PhD27628","3","Area 5","silcrete - quartz present","SILCRETE","WCL","Imported",875.000964285183,0.319451332193481,-0.0251602673809258,0.0194507195355393,0.00412940639158374,0.0249146482922843,-0.0211046454631154
"ID=1260","ID=1260SIISOWN4","PhD34676","5","Area 5","silcrete - quartz present","SILCRETE","WCL","Imported",744.217962024567,0.067478054989216,0.00406661300183481,0.0575567351508141,-0.016278184530519,0.00339658335879745,-0.0253284613233191
"ID=1261","ID=1261SIISOWN4","PhD28189","4","Area 5","silcrete - quartz present","SILCRETE","WCL","Imported",1212.96503968581,-0.18397215791873,-0.359792658960972,0.055001602772086,0.0328360346591109,-0.0103206581207545,0.00361224110180026
"ID=1262","ID=1262SIISOWN4","PhD26445","2","Area 5","silcrete - quartz present","SILCRETE","WCL","Imported",1290.86148559789,-0.208956458343021,0.203344611274303,-0.0509951278887358,-0.0168316064223535,0.0382694337411612,-0.0378940222597285
"ID=1263","ID=1263CHISOWN4","PhD28282","6","Area 5","chert - quartz present","CHERT","WCL","Imported",1319.27660102042,-0.117415564322775,0.191743100962512,0.067647378692922,-0.00393787056707892,-0.00627112689716633,0.00930262611110002
"ID=1264","ID=1264SIISOWN4","PhD26592","7","Area 5","silcrete - quartz present","SILCRETE","WCL","Imported",1292.48549314876,-0.179590212225327,0.00741147544182536,-0.0130673297496259,0.033455730290393,-0.0375839204752277,-0.0485835622133661
"ID=1265","ID=1265SIISOWN4","PhD26824","9","Area 5","silcrete - quartz present","SILCRETE","WCL","Imported",1244.87245832655,0.0902574466828207,-0.00990386119920097,-0.0129051033165739,0.0124702074228054,-0.0147308603936544,-0.0307695165093052
"ID=1266","ID=1266SIISOWN4","PhD30812","4","Area 5","silcrete - quartz present","SILCRETE","WCL","Imported",1297.69796177693,0.116769708486573,0.453110418306037,0.02527794342101,0.0649366289490796,0.00436364877018396,0.0117949874744812
"ID=1267","ID=1267SIISOWN4","PhD28075","7","Area 5","silcrete - quartz present","SILCRETE","WCL","Imported",949.999967105263,-0.144480012749022,-0.284099884901822,-0.0194183074531573,0.0416570771749182,0.00986616626087239,-0.00151007696298018
"ID=1268","ID=1268SIPROWN4","PhD34856","3","Area 5","silcrete - quartz present","SILCRETE","WCL","Locally produced",947.373309472037,-0.20955699466037,0.0513148822947427,-0.0392502071251815,-0.0523067887018163,0.0476522296787545,-0.0108640141480703
"ID=1269","ID=1269SIPROWN4","PhD28285","7","Area 5","silcrete - quartz present","SILCRETE","WCL","Locally produced",913.094977261402,-0.355851628063498,-0.181737151818468,0.00456906588258168,-0.038810549554959,0.0591501619209804,0.00735050565849964
"ID=1270","ID=1270SIPROWN4","PhD28309","7","Area 5","silcrete - quartz present","SILCRETE","WCL","Locally produced",985.057549080256,0.050172270117873,-0.00675026962543169,-0.0721633012904017,0.000610241691308033,-0.0820451940175854,0.00391284136340975
"ID=1271","ID=1271SIPROWN4","PhD32859","5","Area 5","silcrete - quartz present","SILCRETE","WCL","Locally produced",1096.66115436811,-0.055858422352032,0.162264513821301,-0.0550310037066276,-0.0159405194913636,0.000887565727690824,-0.0203800865269963
"ID=1272","ID=1272SIPROWN4","PhD32193","6","Area 5","silcrete - quartz present","SILCRETE","WCL","Locally produced",1310.3985557837,-0.0638703406840107,-0.235374082511874,-0.091794225602175,-0.0352214061323552,0.00292886510045126,-0.00153450455892797
"ID=1273","ID=1273SIPRON14","PhD39683","5","Area 6","silcrete - quartz present","SILCRETE","WCL","Locally produced",1083.46129372488,0.0676044746861975,0.137333625802947,0.00940003701630683,0.0565431121989207,0.00674472779091284,-0.000887758489371632
"ID=1274","ID=1274SIPRON14","PhD40229","6","Area 6","silcrete - quartz present","SILCRETE","WCL","Locally produced",1106.70476528295,-0.263015472072732,-0.06512152273463,0.0101964799970423,-0.0887867104372943,-0.027020650920752,0.0456053279808186
"ID=1275","ID=1275SIPRON14","PhD39672","10","Area 6","silcrete - quartz present","SILCRETE","WCL","Locally produced",971.240540494475,0.0466747106094315,0.251705441321254,0.0429296142834741,-0.0639597598221628,-0.0173937597818516,0.0546224838787926
"ID=1276","ID=1276SIPRON14","PhD39650-dist","5","Area 6","silcrete - quartz present","SILCRETE","WCL","Locally produced",1660.14905204322,-0.171090835781193,0.0146209588526314,-0.0213568191941176,-0.0629265495085541,-0.0124755193619003,-0.0167598459609341
"ID=1277","ID=1277SIPRON14","PhD41073","4","Area 6","silcrete - quartz present","SILCRETE","WCL","Locally produced",690.504299407324,-0.165860227549968,0.042210449021459,0.0842111298534175,-0.00393852841969434,-0.0293355945451628,0.00648187026111991
"ID=1278","ID=1278SIISON14","PhD38161","2","Area 6","silcrete - quartz present","SILCRETE","WCL","Imported",779.064462993917,-0.23064057485718,0.0420135395518409,0.0717651854131656,-0.00849548120016534,0.0391778067335008,-0.00936605833454732
"ID=1279","ID=1279SIPRON14","PhD40516","8","Area 6","silcrete - quartz present","SILCRETE","WCL","Locally produced",1184.75809767226,-0.0661504121494716,0.0904730516637227,-0.0872227495449574,0.0162308600129796,-0.0867959441091042,-0.004248707990052
"ID=1280","ID=1280SIPRON14","PhD39654","5","Area 6","silcrete - quartz present","SILCRETE","WCL","Locally produced",1212.83559788621,-0.0453490252229415,-0.0155351631026649,0.0508782089908975,-0.113365419654637,-0.0112786863695056,-0.0169571338292258
"ID=1281","ID=1281SIISOBCF","PhD19381","4","Area 3","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",903.029449962735,0.0544169656861403,-0.424771076748788,0.0125729502498849,0.0230581555747167,-0.00354700393678622,0.0169034313430478
"ID=1282","ID=1282CHPROBCF","PhD19005","4","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",465.359001202298,-0.315823972638673,-0.0590791755463947,-0.0259118050481835,0.0447805502127216,0.0170517776374033,-0.020558683123681
"ID=1283","ID=1283CHPROBCF","PhD19128","4","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",645.961057262742,0.0918213187856067,0.0686163873521477,0.0467150792857974,-0.0586369185447847,-0.00610339191416213,0.0163688408062115
"ID=1284","ID=1284CHPROBCF","PhD18918","6","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",829.681377096051,0.0206976181035426,0.0709832996009127,-0.0114032083545213,0.0560872405110942,-0.0525747170536681,-0.0152033080098132
"ID=1285","ID=1285QUNAABCF","PhD20373","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",980.719570009695,-0.177465515228839,0.115108398499434,-0.111868881438421,0.0186213569102296,-0.0706224433327454,0.00527996061071847
"ID=1286","ID=1286QUNAABCF","PhD20681","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1109.9792509322,-0.262064679898811,0.124250838844014,0.00793223957655679,-0.0170040671813794,0.046503552626519,-0.0170201520138231
"ID=1287","ID=1287QUNAABCF","PhD20404","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1013.95118225682,0.0774609900799404,0.0934289391818601,0.0418032922325344,-0.0169133877743198,0.00563454338056007,0.00453027201836305
"ID=1289","ID=1289SIPRON14","PhD40202, 39521","9","Area 6","silcrete - quartz present","SILCRETE","WCL","Locally produced",1154.66637497591,-0.0460567165648733,0.326487664605018,-0.153030336308325,0.00858417449728494,0.0745516560752635,0.0227092252787432
"ID=1293","ID=1293SIPROWN4","PhD28308, 28311","7","Area 5","silcrete - quartz present","SILCRETE","WCL","Locally produced",620.461471406565,-0.178767236433063,0.343057771544959,0.0154512523817584,0.0724076378195963,0.0261978031720408,0.0138454301181883
"ID=1294","ID=1294SIPROBCG","PhD534, 289","10","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Locally produced",1450.89743779497,0.213110656221751,-0.175514627998157,-0.0714108678615178,0.045897185553872,-0.00791059800394207,-0.0105336506035997
"ID=1295","ID=1295SIPROBCG","PhD373, 2634","6","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Locally produced",1270.24011017602,0.343651771575813,0.0388244579251093,-0.050762310975115,0.0391870919454754,-0.0490428052419081,-0.0326307004726624
"ID=1296","ID=1296SISETBCG","PhD2754, 2697","4","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Imported",1442.35560369141,0.268831182539852,-0.111603324088294,0.028233966715658,0.0202894986780253,0.0246003333286921,-0.0235339224598849
"ID=1298","ID=1298SISETBCG","PhD1418, 1166","8","Area 1","silcrete - quartz absent","SILCRETE","BCJ AREA G","Imported",1412.71845655814,0.292679192523294,0.137107123974667,0.0504641767244607,-0.00793414089664155,0.0162339414609472,0.0399510882155811
