ID,X105_LG_Bas_clean.tps,X105_LG_Bas_ID_added.tps,PhD.ID.number,spit,activity_area,Qu_present,raw_material,SITE,mode_of_entry
1195,ID=1195,ID=1195QUNAABCF,PhD19500,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1196,ID=1196,ID=1196QUNAABCF,PhD19926,4,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1197,ID=1197,ID=1197QUNAABCF,PhD20034,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1198,ID=1198,ID=1198QUNAABCF,PhD20067,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1199,ID=1199,ID=1199QUNAABCF,PhD20399,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1200,ID=1200,ID=1200QUNAABCF,PhD20442,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1201,ID=1201,ID=1201QUNAABCF,PhD20466,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1202,ID=1202,ID=1202QUNAABCF,PhD20701,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1203,ID=1203,ID=1203QUNAABCF,PhD20846,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1204,ID=1204,ID=1204QUNAABCF,PhD21172,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1205,ID=1205,ID=1205QUNAABCF,PhD21822,4,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1206,ID=1206,ID=1206SIPROBCF,PhD18015,6,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1207,ID=1207,ID=1207SIPROBCF,PhD18796,8,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1208,ID=1208,ID=1208SIPROBCF,PhD18312,4,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported
1209,ID=1209,ID=1209SIPROBCF,PhD18227,4,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1210,ID=1210,ID=1210CHPROBCF,PhD18870,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1211,ID=1211,ID=1211SISETBCF,PhD18614,8,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported
1212,ID=1212,ID=1212SISETBCF,PhD18773,8,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported
1213,ID=1213,ID=1213SIISOBCF,PhD18871,6,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported
1214,ID=1214,ID=1214SIISOBCF,PhD19007,6,Area 3,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported
1215,ID=1215,ID=1215SIISOBCF,PhD17944,4,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported
1216,ID=1216,ID=1216SIPROBCF,PhD18789,6,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1217,ID=1217,ID=1217SIPROBCF,PhD18611,6,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1218,ID=1218,ID=1218SIPROBCF,PhD18700,6,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1219,ID=1219,ID=1219SIPROBCF,PhD18790,6,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1220,ID=1220,ID=1220CHPROBCF,PhD18931,6,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1221,ID=1221,ID=1221CHPROBCF,PhD18663,6,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1222,ID=1222,ID=1222CHPROBCF,PhD19428,6,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1224,ID=1224,ID=1224CHPROBCF,PhD19044,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1225,ID=1225,ID=1225CHPROBCF,PhD19043,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1226,ID=1226,ID=1226CHPROBCF,PhD19410,6,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1227,ID=1227,ID=1227CHPROBCF,PhD19318-prox,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1228,ID=1228,ID=1228SIPROBCF,PhD19351,6,Area 3,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1229,ID=1229,ID=1229SIPROBCF,PhD19363,4,Area 3,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1230,ID=1230,ID=1230CHISOBCG,PhD1682,8,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported
1231,ID=1231,ID=1231SIISOBCG,PhD1512,8,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported
1232,ID=1232,ID=1232SIISOBCG,PhD1750,10,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported
1233,ID=1233,ID=1233SIISOBCG,PhD1490,8,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported
1234,ID=1234,ID=1234SIISOBCG,PhD222,8,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported
1235,ID=1235,ID=1235CHISOBCG,PhD1642,6,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported
1236,ID=1236,ID=1236CHISOBCG,PhD1513,8,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported
1238,ID=1238,ID=1238SISETBCG,PhD1275,6,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported
1239,ID=1239,ID=1239SISETBCG,PhD2785,4,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported
1240,ID=1240,ID=1240CHSETBCG,PhD325,8,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported
1241,ID=1241,ID=1241CHSETBCG,PhD1291,8,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported
1242,ID=1242,ID=1242CHSETBCG,PhD2717,8,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported
1243,ID=1243,ID=1243CHSETBCG,PhD1240,6,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported
1244,ID=1244,ID=1244CHSETBCG,PhD1044,6,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported
1245,ID=1245,ID=1245CHSETBCG,PhD1460,6,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported
1246,ID=1246,ID=1246SIPROBCG,PhD2243,8,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced
1247,ID=1247,ID=1247SIPROBCG,PhD3675,6,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced
1249,ID=1249,ID=1249SIPROBCG,PhD1543,8,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced
1250,ID=1250,ID=1250SIPROBCG,PhD866,10,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced
1254,ID=1254,ID=1254QUNAAWN4,PhD35093,4,Area 5,quartz,QUARTZ,WCL,Locally produced
1255,ID=1255,ID=1255QUNAAWN4,PhD30337,5,Area 5,quartz,QUARTZ,WCL,Locally produced
1256,ID=1256,ID=1256QUNAAWN4,PhD25095,2,Area 5,quartz,QUARTZ,WCL,Locally produced
1257,ID=1257,ID=1257QUNAAWN4,PhD29000,4,Area 5,quartz,QUARTZ,WCL,Locally produced
1258,ID=1258,ID=1258QUNAAWN4,PhD27111,4,Area 5,quartz,QUARTZ,WCL,Locally produced
1259,ID=1259,ID=1259SIISOWN4,PhD27628,3,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported
1260,ID=1260,ID=1260SIISOWN4,PhD34676,5,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported
1261,ID=1261,ID=1261SIISOWN4,PhD28189,4,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported
1262,ID=1262,ID=1262SIISOWN4,PhD26445,2,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported
1263,ID=1263,ID=1263CHISOWN4,PhD28282,6,Area 5,chert - quartz present,CHERT,WCL,Imported
1264,ID=1264,ID=1264SIISOWN4,PhD26592,7,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported
1265,ID=1265,ID=1265SIISOWN4,PhD26824,9,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported
1266,ID=1266,ID=1266SIISOWN4,PhD30812,4,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported
1267,ID=1267,ID=1267SIISOWN4,PhD28075,7,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported
1268,ID=1268,ID=1268SIPROWN4,PhD34856,3,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced
1269,ID=1269,ID=1269SIPROWN4,PhD28285,7,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced
1270,ID=1270,ID=1270SIPROWN4,PhD28309,7,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced
1271,ID=1271,ID=1271SIPROWN4,PhD32859,5,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced
1272,ID=1272,ID=1272SIPROWN4,PhD32193,6,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced
1273,ID=1273,ID=1273SIPRON14,PhD39683,5,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced
1274,ID=1274,ID=1274SIPRON14,PhD40229,6,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced
1275,ID=1275,ID=1275SIPRON14,PhD39672,10,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced
1276,ID=1276,ID=1276SIPRON14,PhD39650-dist,5,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced
1277,ID=1277,ID=1277SIPRON14,PhD41073,4,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced
1278,ID=1278,ID=1278SIISON14,PhD38161,2,Area 6,silcrete - quartz present,SILCRETE,WCL,Imported
1279,ID=1279,ID=1279SIPRON14,PhD40516,8,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced
1280,ID=1280,ID=1280SIPRON14,PhD39654,5,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced
1281,ID=1281,ID=1281SIISOBCF,PhD19381,4,Area 3,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported
1282,ID=1282,ID=1282CHPROBCF,PhD19005,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1283,ID=1283,ID=1283CHPROBCF,PhD19128,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1284,ID=1284,ID=1284CHPROBCF,PhD18918,6,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
1285,ID=1285,ID=1285QUNAABCF,PhD20373,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1286,ID=1286,ID=1286QUNAABCF,PhD20681,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1287,ID=1287,ID=1287QUNAABCF,PhD20404,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1289,ID=1289,ID=1289SIPRON14,"PhD40202, 39521",9,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced
1293,ID=1293,ID=1293SIPROWN4,"PhD28308, 28311",7,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced
1294,ID=1294,ID=1294SIPROBCG,"PhD534, 289",10,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced
1295,ID=1295,ID=1295SIPROBCG,"PhD373, 2634",6,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced
1296,ID=1296,ID=1296SISETBCG,"PhD2754, 2697",4,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported
1298,ID=1298,ID=1298SISETBCG,"PhD1418, 1166",8,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported
